spatial id,temporal id,Target (normal),Normal target,_Daily_Cases t-1,_Daily_Cases t,Daily_Deaths t-1,Daily_Deaths t,retail_and_recreation_percent_change_from_baseline t-1,retail_and_recreation_percent_change_from_baseline t,grocery_and_pharmacy_percent_change_from_baseline t-1,grocery_and_pharmacy_percent_change_from_baseline t,parks_percent_change_from_baseline t-1,parks_percent_change_from_baseline t,transit_stations_percent_change_from_baseline t-1,transit_stations_percent_change_from_baseline t,residential_percent_change_from_baseline_ t-1,residential_percent_change_from_baseline_ t
1,2020/07/13,5.571428571428571,5.571428571428571,279.14285714285717,402.85714285714283,9.142857142857142,8.0,-13.428571428571429,-12.857142857142858,2.7142857142857144,2.7142857142857144,135.14285714285714,153.71428571428572,-42.0,-41.57142857142857,8.714285714285714,7.857142857142857
1,2020/07/20,5.714285714285714,5.714285714285714,402.85714285714283,517.2857142857143,8.0,5.0,-12.857142857142858,-12.285714285714286,2.7142857142857144,3.142857142857143,153.71428571428572,173.85714285714286,-41.57142857142857,-41.142857142857146,7.857142857142857,7.714285714285714
1,2020/07/27,5.571428571428571,5.571428571428571,517.2857142857143,425.57142857142856,5.0,7.714285714285714,-12.285714285714286,-11.285714285714286,3.142857142857143,4.285714285714286,173.85714285714286,170.14285714285714,-41.142857142857146,-41.285714285714285,7.714285714285714,7.571428571428571
1,2020/08/03,3.4285714285714284,3.4285714285714284,425.57142857142856,371.2857142857143,7.714285714285714,5.0,-11.285714285714286,-12.428571428571429,4.285714285714286,0.7142857142857143,170.14285714285714,170.71428571428572,-41.285714285714285,-41.57142857142857,7.571428571428571,7.857142857142857
1,2020/08/10,3.857142857142857,3.857142857142857,371.2857142857143,376.7142857142857,5.0,5.571428571428571,-12.428571428571429,-10.714285714285714,0.7142857142857143,1.4285714285714286,170.71428571428572,174.0,-41.57142857142857,-40.142857142857146,7.857142857142857,6.571428571428571
1,2020/08/17,7.428571428571429,7.428571428571429,376.7142857142857,401.85714285714283,5.571428571428571,5.714285714285714,-10.714285714285714,-11.0,1.4285714285714286,0.7142857142857143,174.0,152.57142857142858,-40.142857142857146,-40.285714285714285,6.571428571428571,6.714285714285714
1,2020/08/24,7.857142857142857,7.857142857142857,401.85714285714283,438.7142857142857,5.714285714285714,5.571428571428571,-11.0,-10.285714285714286,0.7142857142857143,1.1428571428571428,152.57142857142858,131.71428571428572,-40.285714285714285,-40.0,6.714285714285714,6.714285714285714
1,2020/08/31,32.42857142857143,32.42857142857143,438.7142857142857,571.7142857142857,5.571428571428571,3.4285714285714284,-10.285714285714286,-8.428571428571429,1.1428571428571428,2.7142857142857144,131.71428571428572,141.14285714285714,-40.0,-37.714285714285715,6.714285714285714,6.0
1,2020/09/07,19.714285714285715,19.714285714285715,571.7142857142857,678.5714285714286,3.4285714285714284,3.857142857142857,-8.428571428571429,-14.571428571428571,2.7142857142857144,-2.5714285714285716,141.14285714285714,103.42857142857143,-37.714285714285715,-42.42857142857143,6.0,8.0
1,2020/09/14,21.714285714285715,21.714285714285715,678.5714285714286,1015.7142857142857,3.857142857142857,7.428571428571429,-14.571428571428571,-11.714285714285714,-2.5714285714285716,-1.5714285714285714,103.42857142857143,92.28571428571429,-42.42857142857143,-40.857142857142854,8.0,7.0
